t,S,I,R
12.336413140427519,394,304,302
12.338652877448549,394,303,303
12.340478443038194,393,304,303
12.344393978496706,392,305,303
12.349589310980932,391,306,303
12.386552762890583,391,305,304
12.386656536791298,391,304,305
12.387805849779898,390,305,305
12.404437879574473,389,306,305
12.408634292059416,388,307,305
12.411223039117033,387,308,305
12.416186884569216,387,307,306
12.420245138087978,386,308,306
12.432536719696841,386,307,307
12.441769410952823,385,308,307
12.445093368698895,385,307,308
12.448510361492406,385,306,309
12.455733949317315,385,305,310
12.460092147621223,385,304,311
12.477377726485232,385,303,312
12.483199160555989,384,304,312
12.493441928929,384,303,313
12.497061781443984,384,302,314
12.516362379969193,384,301,315
12.517007547644035,384,300,316
12.530740044986109,383,301,316
12.531668885941835,383,300,317
12.556386888034776,382,301,317
12.558806623670328,381,302,317
12.560880525669777,380,303,317
12.562093438149677,380,302,318
12.569351944946645,379,303,318
12.588345814311255,379,302,319
12.593514596550746,379,301,320
12.616533662225022,379,300,321
12.61933249514571,379,299,322
12.623349079630756,379,298,323
12.630755967745467,379,297,324
12.636233173009428,378,298,324
12.638574832301233,377,299,324
12.643901244961882,376,300,324
12.6448967730853,376,299,325
12.648972105511753,376,298,326
12.65530460112947,375,299,326
12.66222041661161,375,298,327
12.676002164049354,374,299,327
12.677471372247158,373,300,327
12.693804020188232,372,301,327
12.696943125372533,371,302,327
12.698360966492453,370,303,327
12.69857786609854,370,302,328
12.708741568160612,370,301,329
12.713765573114976,369,302,329
12.716577829040382,369,301,330
12.720584153086453,369,300,331
12.721052852892155,368,301,331
12.74647593328129,367,302,331
12.74728734777766,366,303,331
12.748217231921535,366,302,332
12.749215818474385,365,303,332
12.754972568047693,365,302,333
12.760591974312952,364,303,333
12.76703389661327,363,304,333
12.777708823937253,363,303,334
12.794222765552364,363,302,335
12.796420653213893,362,303,335
12.80028959923892,361,304,335
12.803181199478582,361,303,336
12.815051206654113,361,302,337
12.818011225869192,361,301,338
12.825800917917318,361,300,339
12.843380992839453,360,301,339
12.850597271390317,359,302,339
12.868393975183261,359,301,340
12.871145965362754,359,300,341
12.871251406446573,359,299,342
12.87573154778058,359,298,343
12.884964040871159,359,297,344
12.885370755084548,358,298,344
12.896079800364575,358,297,345
12.900174571465284,358,296,346
12.902635746011198,358,295,347
12.919032158064766,357,296,347
12.921544144355762,357,295,348
12.923276597645822,357,294,349
12.935263201505947,357,293,350
12.950415058240063,356,294,350
12.973736504712793,356,293,351
12.980242827314937,356,292,352
12.990314224334469,356,291,353
12.99284438572358,356,290,354
12.993045152697157,355,291,354
13.001673654941168,355,290,355
